Occasion,Outfit_Type,Color,Material,Pattern,Sleeve_Length,Neckline,Fit,Accessory,Brand
Wedding,Sportswear,Black,Linen,Striped,Sleeveless,Collared,Loose,Belt,Prada
Wedding,Dress,Yellow,Chiffon,Striped,Three-Quarter Sleeve,Collared,Tailored,Necklace,Reebok
Casual,Dress,White,Chiffon,Solid,Three-Quarter Sleeve,Off-Shoulder,Loose,Belt,Reebok
Business,Jeans,Purple,Cotton,Checked,Short Sleeve,Collared,Tailored,Belt,Levi's
Party,Sportswear,Orange,Wool,Abstract,Short Sleeve,V-Neck,Tailored,Watch,Prada
Party,Jumpsuit,Black,Cotton,Striped,Sleeveless,V-Neck,Slim,Hat,Nike
Casual,Jeans,Blue,Silk,Polka Dot,Three-Quarter Sleeve,Collared,Regular,Scarf,Levi's
Party,Jumpsuit,Orange,Denim,Abstract,Sleeveless,Halter,Loose,Bracelet,Adidas
Sports,Suit,Purple,Cotton,Polka Dot,Sleeveless,Round Neck,Regular,Necklace,H&M
Sports,Sportswear,Red,Silk,Checked,Short Sleeve,Collared,Slim,Earrings,Adidas
Party,Suit,Blue,Chiffon,Checked,Three-Quarter Sleeve,V-Neck,Loose,Bracelet,Adidas
Casual,Blazer,Green,Cotton,Checked,Short Sleeve,Halter,Tailored,Bracelet,Gucci
Casual,Sportswear,Green,Linen,Floral,Short Sleeve,Off-Shoulder,Tailored,Scarf,Gucci
Casual,Jumpsuit,Brown,Cotton,Floral,Long Sleeve,Round Neck,Tailored,Hat,Reebok
Formal,Dress,Blue,Wool,Striped,Long Sleeve,Off-Shoulder,Slim,Hat,Reebok
Casual,Sportswear,Brown,Chiffon,Checked,Three-Quarter Sleeve,Round Neck,Regular,Scarf,Prada
Party,Jeans,Red,Cotton,Checked,Short Sleeve,Round Neck,Regular,Sunglasses,Zara
Sports,Jeans,Yellow,Linen,Abstract,Short Sleeve,Collared,Regular,Scarf,Adidas
Formal,Sportswear,White,Denim,Abstract,Short Sleeve,Off-Shoulder,Regular,Sunglasses,Levi's
Business,Blazer,Yellow,Leather,Abstract,Long Sleeve,Halter,Regular,Ring,Levi's
Formal,Dress,Yellow,Chiffon,Solid,Three-Quarter Sleeve,Collared,Loose,Bracelet,Reebok
